event_id,state,district,slide_name,nh_sh_location,latitude,longitude,coord_valid,coord_issue,coord_collision,event_date,date_precision,history_raw,material_involved,movement_type,elevation,slope,aspect,curvature,terrain_ruggedness,dem_available,dem_issue,landslide
NEG_18541,,,,,26.05833169355942,88.28904419059434,True,,False,2024-05-28,day,,,,56.0,2.497180288475761,111.80140948635182,0.0,1.0,True,,0
NEG_18542,,,,,26.357481705423062,88.48034803204054,True,,False,2023-06-09,day,,,,78.0,2.364645337583093,168.69006752597977,0.0010493654015202576,1.125,True,,0
NEG_18543,,,,,26.715555742123545,91.17945259669185,True,,False,2007-07-27,day,,,,64.0,2.497180288475761,291.8014094863518,-0.00419746160608103,1.5,True,,0
NEG_18544,,,,,26.53951051739196,88.54817020587255,True,,False,2011-07-07,day,,,,90.0,2.7818634659843506,180.0,0.0010493654015202576,1.125,True,,0
NEG_18545,,,,,26.641612643954726,91.22337584416587,True,,False,2025-05-30,day,,,,56.0,3.6043774998586677,45.0,0.002098730803040515,1.375,True,,0
NEG_18546,,,,,26.280885492490086,88.0150114556029,True,,False,2024-05-28,day,,,,59.0,2.3187761415533013,36.86989764584401,-0.002098730803040515,1.0,True,,0
NEG_18547,,,,,26.482951594182545,91.28058572294161,True,,False,2025-06-03,day,,,,52.0,4.6872442663045755,327.0947570770121,0.0010493654015202576,2.0,True,,0
NEG_18548,,,,,26.009675316075015,88.02718532593704,True,,False,2025-05-29,day,,,,52.0,3.2280260705093418,248.96248897457818,-0.0052468270076012884,1.75,True,,0
NEG_18549,,,,,26.718436541345742,91.54691491658245,True,,False,2024-06-20,day,,,,92.0,1.6400699811412143,351.86989764584405,0.0,0.625,True,,0
NEG_18550,,,,,27.940992673556913,88.71349145134874,True,,False,2007-09-09,day,,,,5277.0,3.619201550089076,230.19442890773482,-0.0010493654015202576,1.375,True,,0
NEG_18551,,,,,26.239328908082843,88.20651115298806,True,,False,2025-06-02,day,,,,65.0,1.994969777336083,234.46232220802563,-0.0010493654015202576,1.0,True,,0
NEG_18552,,,,,26.38102068581336,88.65151534484274,True,,False,2024-05-28,day,,,,76.0,3.1096074181807305,26.56505117707799,-0.006296192409121546,1.75,True,,0
NEG_18553,,,,,26.44519340290426,91.22349494915903,True,,False,2010-04-22,day,,,,45.0,1.672531498381725,326.30993247402023,-0.003148096204560773,0.875,True,,0
NEG_18554,,,,,26.473753597663748,91.95413380316776,True,,False,2024-05-28,day,,,,64.0,3.931063454702078,315.0,-0.002098730803040515,1.75,True,,0
NEG_18555,,,,,26.970003125509205,91.5767339580938,True,,False,2013-08-04,day,,,,1003.0,33.708432334980685,146.88865803962798,-0.0346290582501685,18.375,True,,0
NEG_18556,,,,,26.07872113391368,91.47143769888262,True,,False,2019-07-10,day,,,,53.0,1.994969777336083,324.4623222080256,-0.007345557810641803,2.0,True,,0
NEG_18557,,,,,26.095963959521576,88.23699171849034,True,,False,2023-08-08,day,,,,52.0,3.985114053767099,144.46232220802563,0.0010493654015202576,1.625,True,,0
NEG_18558,,,,,27.830246686815542,88.53372211348939,True,,False,2024-05-28,day,,,,4292.0,33.05637119984665,106.63095370672141,-0.0052468270076012884,14.875,True,,0
NEG_18559,,,,,27.571710387905608,88.87666052011468,True,,False,2024-07-21,day,,,,4526.0,7.510202878344002,100.61965527615513,-0.0010493654015202576,3.125,True,,0
NEG_18560,,,,,27.83818131005361,88.17959272057523,True,,False,2024-05-28,day,,,,6132.0,32.508911709810455,220.87770218821638,-0.0052468270076012884,14.75,True,,0
NEG_18561,,,,,26.44474013470644,91.48125945772698,True,,False,2018-06-14,day,,,,55.0,0.6561785380626193,315.0,-0.00419746160608103,1.25,True,,0
NEG_18562,,,,,26.06743696243712,91.84599781486655,True,,False,2024-09-24,day,,,,210.0,21.196186028507814,151.29404745659892,-0.0052468270076012884,9.125,True,,0
NEG_18563,,,,,25.29759714448548,94.81522565139083,True,,False,2013-08-11,day,,,,1266.0,17.018617468878592,332.4179707922028,-0.0010493654015202576,7.5,True,,0
NEG_18564,,,,,27.704158457868207,88.74973122163604,True,,False,2010-10-09,day,,,,2784.0,11.328952775354063,75.96375653207352,-0.003148096204560773,4.875,True,,0
NEG_18565,,,,,26.66352200156097,88.45354468803308,True,,False,2025-05-31,day,,,,106.0,0.7336218900839592,71.56505117707799,-0.0010493654015202576,0.5,True,,0
NEG_18566,,,,,27.316261397454493,88.74096193089673,True,,False,2024-09-24,day,,,,2783.0,37.3498381513057,288.2426818281234,0.02308603883344567,19.375,True,,0
NEG_18567,,,,,26.525698879742865,91.9724648175937,True,,False,2023-08-10,day,,,,67.0,1.8553855108258313,180.0,0.002098730803040515,0.75,True,,0
NEG_18568,,,,,27.79799515335017,88.15787564141765,True,,False,2024-07-02,day,,,,6035.0,50.13646518754622,168.69006752597977,-0.0010493654015202576,29.875,True,,0
NEG_18569,,,,,26.086879923605682,88.82003522166512,True,,False,2025-06-01,day,,,,48.0,3.0221599715334833,265.6012946450045,0.0010493654015202576,1.25,True,,0
NEG_18570,,,,,25.398891353817394,94.415453983201,True,,False,2007-09-29,day,,,,1729.0,28.699446572631206,330.7807533095154,-0.0052468270076012884,13.125,True,,0
